Industry Category,Industry Sub-Category,Industry Specialization
Construction & Real Estate,Real Estate Brokerage,"Residential Sales, Commercial Leasing"
Construction & Real Estate,Architecture Firm,"Residential, Commercial, Sustainable Design"
Construction & Real Estate,Surveying Company,"Land Surveying, Construction Surveying"
Telecommunications,Telecom Operator,"Mobile, Fixed-Line, Broadband"
Telecommunications,ISP (Internet Service Provider),"Fiber, DSL, Wireless"
Telecommunications,Network Equipment Vendor,"Routers, Switches, 5G Equipment"
Telecommunications,Mobile Virtual Network Operator (MVNO),Reselling Mobile Services
Telecommunications,Telecom Infrastructure Provider,"Cell Towers, Fiber Networks"
Media & Entertainment,Production Company,"Film, TV, Digital Content"
Media & Entertainment,Streaming Platform,"Video on Demand, Live Streaming"
Media & Entertainment,Broadcast Network,"TV, Radio"
Media & Entertainment,Music Label,"Artist Management, Distribution"
Media & Entertainment,Event Management Firm,"Concerts, Corporate Events"
Media & Entertainment,Publishing House,"Books, Magazines, Digital Publications"
Media & Entertainment,Advertising Agency,"Digital Marketing, Brand Strategy"
Hospitality & Tourism,Hotel/Resort,"Luxury, Business, Budget"
Hospitality & Tourism,Travel Agency,"Leisure Travel, Corporate Travel"
Hospitality & Tourism,Tour Operator,"Adventure, Cultural, Ecotourism"
Hospitality & Tourism,Event Venue,"Conference Centers, Banquet Halls"
Hospitality & Tourism,Cruise Line,"Leisure Cruises, Expedition Cruises"
Hospitality & Tourism,Hospitality Management Firm,"Hotel Management, Food & Beverage"
Hospitality & Tourism,Restaurant Chain,"Casual Dining, Fast Food, Fine Dining"
Legal & Compliance,Law Firm,"Corporate Law, Litigation, Intellectual Property"
Legal & Compliance,LegalTech Company,"Contract Management, E-Discovery, Compliance Tools"
Legal & Compliance,Compliance Consultancy,"Regulatory Compliance, Risk Management"
Legal & Compliance,Notary Service,"Document Certification, Legal Witnessing"
Legal & Compliance,Corporate Legal Department,"Internal Counsel, Contract Review"
Legal & Compliance,Arbitration Center,"Dispute Resolution, Mediation"
Energy & Utilities,Oil & Gas Producer,"Exploration, Drilling, Refining"
Energy & Utilities,Power Generation Company,"Coal, Gas, Renewable Energy"
Energy & Utilities,Utility Provider,"Electricity, Water, Gas"
Energy & Utilities,Renewable Energy Firm,"Solar, Wind, Hydro"
Energy & Utilities,Energy Equipment Manufacturer,"Turbines, Solar Panels, Batteries"
Energy & Utilities,Energy Trading Firm,"Commodity Trading, Risk Management"
Agriculture & Agribusiness,Farm Operator,"Crop Farming, Livestock"
Agriculture & Agribusiness,AgTech Company,"Precision Farming, Drones, IoT"
Agriculture & Agribusiness,Agricultural Equipment Manufacturer,"Tractors, Irrigation Systems"
Agriculture & Agribusiness,Food Processor,"Dairy, Meat Processing"
Agriculture & Agribusiness,Commodity Trader,"Grains, Coffee, Sugar"
Agriculture & Agribusiness,Seed Supplier,"Hybrid Seeds, Organic Seeds"
Non-Profit & NGOs,Charitable Organization,"Health, Education, Disaster Relief"
Non-Profit & NGOs,Advocacy Group,"Human Rights, Environmental Activism"
Non-Profit & NGOs,Social Enterprise,"Fair Trade, Community Development"
Non-Profit & NGOs,International NGO,"Global Health, Development Aid"
Non-Profit & NGOs,Research Foundation,"Medical Research, Social Science"
Automotive,Automaker,"Passenger Vehicles, Commercial Vehicles"
Automotive,Auto Parts Supplier,"OEM Parts, Aftermarket Parts"
Automotive,Car Dealership,"New Cars, Used Cars"
Automotive,Auto Repair Shop,"Mechanical Repair, Bodywork"
Automotive,Fleet Management Company,"Vehicle Leasing, Maintenance"
Automotive,Mobility Service Provider,"Car Sharing, Ride Hailing"
Food & Beverage,Food Manufacturer,"Packaged Foods, Frozen Foods"
Food & Beverage,Restaurant/Café,"Fast Food, Fine Dining"
Food & Beverage,Catering Service,"Corporate Events, Private Parties"
Food & Beverage,Beverage Producer,"Alcoholic Beverages, Soft Drinks"
Food & Beverage,Food Distributor,"Wholesale, Retail Supply"
Food & Beverage,FoodTech Company,"Alternative Proteins, Food Delivery Platforms"
Fashion & Apparel,Apparel Manufacturer,"Sportswear, Casual Wear, Formal Wear"
Fashion & Apparel,Fashion Brand,"Luxury, Fast Fashion, Sustainable Fashion"
Fashion & Apparel,Retail Chain,"Department Stores, Specialty Stores"
Fashion & Apparel,E-commerce Fashion Store,"Niche Apparel, Mass Market"
Fashion & Apparel,Textile Producer,"Natural Fibers, Synthetic Fibers"
Fashion & Apparel,Designer Label,"Haute Couture, Ready-to-Wear"
Aerospace & Defense,Aerospace Manufacturer,"Commercial Aircraft, Spacecraft"
Aerospace & Defense,Defense Contractor,"Weapons Systems, Surveillance Equipment"
Aerospace & Defense,Aviation Services Provider,"Maintenance, Repair & Overhaul (MRO), Training"
Aerospace & Defense,Military Equipment Supplier,"Tactical Gear, Communications"
Aerospace & Defense,SpaceTech Company,"Satellites, Launch Vehicles"
Mining & Metals,Mining Operator,"Coal, Precious Metals, Base Metals"
Mining & Metals,Metals Refiner,"Smelting, Alloy Production"
Mining & Metals,Exploration Company,"Mineral Prospecting, Geological Surveys"
Mining & Metals,Smelting Plant,"Copper, Aluminum, Zinc"
Mining & Metals,Mineral Trader,"Bulk Commodities, Specialty Metals"
Chemicals,Chemical Manufacturer,"Basic Chemicals, Specialty Chemicals"
Chemicals,Specialty Chemicals Producer,"Adhesives, Coatings, Pharmaceuticals"
Chemicals,Chemical Distributor,"Industrial Chemicals, Laboratory Supplies"
Chemicals,Petrochemical Firm,"Plastics, Synthetic Fibers"
Chemicals,Lab & Testing Services,"Chemical Analysis, Quality Assurance"
Consumer Goods,FMCG Manufacturer,"Personal Care, Household Products"
Consumer Goods,Consumer Electronics Brand,"Mobile Devices, Home Appliances"
Consumer Goods,Home Goods Retailer,"Furniture, Kitchenware"
Consumer Goods,Appliance Manufacturer,"Refrigerators, Washing Machines"
Consumer Goods,Personal Care Brand,"Skincare, Haircare"
Environmental Services,Waste Management Firm,"Residential, Industrial, Hazardous Waste"
Environmental Services,Recycling Company,"Paper, Plastics, Electronics"
Environmental Services,Environmental Consultancy,"Impact Assessment, Sustainability Reporting"
Environmental Services,Sustainability Tech Provider,"Carbon Tracking, Energy Efficiency Solutions"
Environmental Services,Water Treatment Firm,"Wastewater, Drinking Water, Desalination"
Professional Services,Consulting Firm,"Management, IT, Financial Advisory"
Professional Services,Accounting Firm,"Audit, Tax, Advisory"
Professional Services,Law Firm,"Corporate, Litigation, IP"
Professional Services,Engineering Consultancy,"Civil, Mechanical, Electrical"
Professional Services,HR & Staffing Agency,"Recruitment, Outsourcing, Payroll"
Sports & Recreation,Sports Club,"Football, Basketball, Multi-sport"
Sports & Recreation,Fitness Center,"Gym, Yoga Studio, CrossFit"
Sports & Recreation,Athletics Apparel Brand,"Running, Training, Outdoor"
Sports & Recreation,Sports Equipment Manufacturer,"Balls, Apparel, Protective Gear"
Sports & Recreation,Recreation Facility Operator,"Parks, Swimming Pools, Skate Parks"
Arts & Culture,Museum,"Art, History, Science"
Arts & Culture,Art Gallery,"Contemporary, Classical"
Arts & Culture,Theatre Company,"Drama, Musical, Experimental"
Arts & Culture,Cultural Foundation,"Heritage Preservation, Arts Promotion"
Arts & Culture,Creative Agency,"Graphic Design, Branding, Content Creation"
Human Resources,Staffing Agency,"Temporary Staffing, Executive Search"
Human Resources,HRTech Platform,"Applicant Tracking, Employee Engagement"
Human Resources,Recruitment Firm,"IT, Healthcare, Finance"
Human Resources,Payroll Provider,"Salary Processing, Compliance"
Human Resources,Training & Development Provider,"Leadership, Skill Development"
Printing & Publishing,Printing Press,"Commercial Printing, Packaging"
Printing & Publishing,Publishing House,"Books, Magazines, Digital Media"
Printing & Publishing,Magazine Publisher,"Lifestyle, Business, Specialty"
Printing & Publishing,Print-on-Demand Service,"Custom Prints, Self-Publishing"
Printing & Publishing,Book Distributor,"Wholesale, Retail"
Security Services,Private Security Firm,"Corporate Security, Event Security"
Security Services,Cybersecurity Company,"Network Security, Threat Monitoring"
Security Services,Alarm & Surveillance Provider,"Residential, Commercial"
Security Services,Event Security Agency,"Crowd Control, VIP Protection"
Cleaning & Maintenance,Cleaning Service Provider,"Residential, Commercial"
Cleaning & Maintenance,Facility Management Firm,"Building Maintenance, Janitorial Services"
Cleaning & Maintenance,Janitorial Service,"Office Cleaning, Specialized Cleaning"
Cleaning & Maintenance,Maintenance Contractor,"Electrical, Plumbing, HVAC"
Event Services,Event Planning Company,"Corporate Events, Weddings"
Event Services,AV Equipment Provider,"Sound Systems, Lighting"
Event Services,Venue Operator,"Convention Centers, Banquet Halls"
Event Services,Catering Company,"Corporate Catering, Private Events"
Event Services,Decorator & Setup Provider,"Event Design, Stage Setup"
Veterinary & Pet Services,Veterinary Clinic,"Small Animals, Large Animals"
Veterinary & Pet Services,Pet Grooming Service,"Dogs, Cats, Exotic Pets"
Veterinary & Pet Services,Animal Shelter,"Rescue, Adoption Services"
Veterinary & Pet Services,Pet Product Retailer,"Food, Toys, Accessories"
Veterinary & Pet Services,Pet Training School,"Obedience, Behavioral Training"
Others,Others,Others
